model,trained_on,tasks_acc,avg_acc,auc,aoc
vcl,1,[0.9741],0.9741,0.0,0.0
vcl,2,"[0.9435, 0.9685]",0.956,0.0,0.0
vcl,3,"[0.8884, 0.9512, 0.9639]",0.9345,0.0,0.0
vcl,4,"[0.8456, 0.9423, 0.9478, 0.9619]",0.9244,0.0,0.0
vcl,5,"[0.7981, 0.9193, 0.9281, 0.945, 0.9589]",0.90988,2.83975,-1.83975
vcl_random_200,1,[0.9696],0.9696,0.0,0.0
vcl_random_200,2,"[0.9599, 0.9589]",0.9594,0.0,0.0
vcl_random_200,3,"[0.9415, 0.9507, 0.9587]",0.9503,0.0,0.0
vcl_random_200,4,"[0.9286, 0.9439, 0.9423, 0.9552]",0.9425,0.0,0.0
vcl_random_200,5,"[0.9125, 0.9128, 0.931, 0.9493, 0.9429]",0.9297,2.86575,-1.86575
vcl_k-center_200,1,[0.969],0.969,0.0,0.0
vcl_k-center_200,2,"[0.9629, 0.9656]",0.96425,0.0,0.0
vcl_k-center_200,3,"[0.9495, 0.9564, 0.9608]",0.9555666666666666,0.0,0.0
vcl_k-center_200,4,"[0.9332, 0.9442, 0.953, 0.9551]",0.946375,0.0,0.0
vcl_k-center_200,5,"[0.9222, 0.9348, 0.9389, 0.9421, 0.9482]",0.93724,2.8775041666666668,-1.8775041666666668
vcl_pca-k-center_200,1,[0.9706],0.9706,0.0,0.0
vcl_pca-k-center_200,2,"[0.9502, 0.9618]",0.956,0.0,0.0
vcl_pca-k-center_200,3,"[0.9417, 0.9555, 0.9586]",0.9519333333333332,0.0,0.0
vcl_pca-k-center_200,4,"[0.941, 0.9503, 0.9438, 0.9565]",0.9479,0.0,0.0
vcl_pca-k-center_200,5,"[0.9228, 0.9472, 0.931, 0.9439, 0.9553]",0.94004,2.867183333333333,-1.8671833333333328
vcl_ewc,1,[0.974],0.974,0.0,0.0
