model,trained_on,avg_acc
vcl,1,0.865
vcl,2,0.75875
vcl,3,0.7316666666666666
vcl,4,0.725
vcl,5,0.7258
vcl_ewc,1,0.872
vcl_ewc,2,0.777
vcl_ewc,3,0.7521666666666667
vcl_ewc,4,0.73975
vcl_ewc,5,0.7398
vcl_random_200,1,0.8725
vcl_random_200,2,0.7165
vcl_random_200,3,0.6915
vcl_random_200,4,0.703875
vcl_random_200,5,0.7146
ewc,1,0.8195
ewc,2,0.60625
ewc,3,0.5926666666666667
ewc,4,0.5945
ewc,5,0.5914
coreset_only_random_200,1,0.7275
coreset_only_random_200,2,0.5794999999999999
coreset_only_random_200,3,0.522
coreset_only_random_200,4,0.486625
coreset_only_random_200,5,0.4222
coreset_only_k-center_200,1,0.7325
coreset_only_k-center_200,2,0.55525
coreset_only_k-center_200,3,0.4243333333333333
coreset_only_k-center_200,4,0.382125
coreset_only_k-center_200,5,0.3412
vcl_k-center_200,1,0.8775
vcl_k-center_200,2,0.72575
vcl_k-center_200,3,0.6823333333333333
vcl_k-center_200,4,0.687125
vcl_k-center_200,5,0.6699
